responseText,upVoteCount,downVoteCount,templatesCount
"""The EIA process was historically devised to take into account the needs of communities, and should be a meticulously planned, elaborate process to ascertain the environmental viability of a project. The entire process is reduced to a series of quick steps that is being fulfilled by cutting corners. This entire mechanism simply does not document the voices of communities that will be directly affected by proposed development projects. The few instances it does are few and far in between. The resounding cry of experts in the field is that this is entirely driven by the dubious “ease of doing business” strategy. Culturally also, we are at an unfortunate juncture where commercial infrastructure gains precedence over natural infrastructure (nature), i.e airports and highways are valued more in comparison to mangroves and ecologically sensitive areas that are part of our culture and knowledge heritage. The approach to “development” should be bottom-up and there is an urgent need to create an enabling democratic environment that allows people to put forth their views without the fear of backlash. ""
https://esgindia.org/new/events/media/press-release/national-consultation-on-draft-eia-notification-2020-focus-on-environmental-protection-and-justice-virtual-meet-on-june-05/",1,0,2
"1. First of all, I would expect Ministry to extend the Public Consultation to earlier 45 days.
A. In this, I would expect the Ministry to advertise on day one on the upcoming Project details to the Public in all leading Information distributors like Newspapers (both local and National), local TV channels etc.
B. Conduct F2F meeting from a representative (something like Ombudsman even NGT is fine) outside of the Ministry to access who is a neutral person (not belonging to any Minister's family or the Investor of the Projects family) with local representatives including public and edify them on the upcoming Projects (its advantages mostly including disadvantages as well). If Ministry feels the Project is very much relevant and needed for the development, they need to connect specifically with People who say ""No"".
2. This requires the Monitoring period to be very frequent (today is very agile world).
3 & 4. For Enviornmental Clearance, the same representative is responsible for saying ""YES"" at first level and later it would go to Ministries process for Final approval.
Once the Clearance is provided for any of the Category mentioned, make the Project public with Total estimation of Project and what is duration. We see many Projects are announced with advantages to people but none of them have the duration and how much Public money is spilled for those Projects.
5. Here would request NGT to be active and provide their guidance and inputs on the field to Public so that the Project is not struck for years and later we see sometimes the Project is shelved.",1,0,1
We must keep the natural reserves for future. It is our hope,2,0,1
"- EIA report should be done by an external (wildlife) biologist - ideally from WII and be revisd by NGOs such as WTI and WCS.
Often the EIA are carried out by members related to the project who lack any signficiant scientific background. These reports are often vague. It is essential these reports are made by automonous biologists",1,0,1
"I'm against to this EIA act 2020........we are now danger zone....please, everytime we all are think future just like (in future I'm well settled and so on etc..) One'st act passes their is no future bucz almost indian environmental may be chemicalized or nature resources are damaged.....so plzz don't encourage this act...
Right time to rise your voice....#EIA 2020
JAI HIND",1,0,1
"EIA 2020 it's against for whole india,
Pls Don't support 
Pls voting against,,",4,0,1
"The draft notification is a watered-down version of the EIA 2006 notification and has failed to:
1. Incorporate the realities of the present and the future by not including industries such as battery manufacturing, manufacture of solar panels, and other components that are the backbone of the booming renewable energy sector.
2. Resolve the crisis of improper e-waste management, which has pernicious effects on natural ecosystems and public health by choosing not to regulate e-waste processing in India.
3. Include Geoengineering, which is deliberate and large-scale manipulation of Earth’s natural processes, and is a big contributor to the climate crisis. 
4. Reduce the list of projects that are either exempt from environmental clearance or do not need public consultation before getting environmental clearance;
a) Linear infrastructure projects like highway expansions have been exempted from getting prior environmental clearance even though there is clear evidence of the threat of fragmentation of wildlife habitats and the emergence of zoonotic diseases like COVID-19
b) Projects that promote continued fossil fuel dependence like coal bed methane extraction, onshore and offshore oil and gas drilling, shale gas exploration, and extraction are placed in the exempt category, even though they exert a huge toll on the environment and are not green.
The draft notification, by placing the district magistrate (DM) as the chairman of the District Environment Impact Assessment Authority (DEIAA) and District Environmental Assessment Committee (DEAC), creates a serious dilemma. How can the environment be guarded if the same person who grants approval to industries as DM is supposed to review it as chairman of DEIAA/DEAC? The move to do away with individual environmental clearances for projects within industrial complexes will lead to poor compliance and adherence to environmental standards by the respective industries within the industrial complex. Further, there is no scope of fixing individual accountability under such circumstances meaning environmental violations are more likely than ever to slip under the radar leading to widespread environmental degradation.
The 2020 draft notification only looks to serve the interests of the business community as it shortens the timelines for getting environmental clearances, increases the validity of mining and riverbed related projects, does away with clearance requirements for expansion projects and has expanded the exclusion list under which projects are exempted from getting environmental clearances. 
In recent months/years, we have observed the effects of a weak environmental policy. Mumbai's Aarey forest was cleared to build a metro shed despite massive protests. Vizag's LG Polymers caused a gas leak on 7th May. Assam's Baghjan gas leak is another recent example. In the view of current situation where we faced natural calamities like cyclones due to climate change, locust attacks, covid 19 pandemic this year and many more natural and man made calamities in the past few years, we should make the EIA amendments even stronger to protect and preserve our natural resources and use them sustainably instead of diluting it and making it easier for industries to get clearance. Moreover, we should have notifications for EIA public comments on projects advertised on national television and national newspapers for people who do not have internet access or the knowledge to navigate through online portals. Majority of our rural/agrarian population who would be more likely be affected by many industrial projects don't even know how to access the online portals. Before making provisions online for such important legislations, we should have adequate training for the public to use these portals efficiently.
Hope all of us as a country can be more environment conscious.",0,0,1
"Absolute No to EIA 2020
#WithdrawEIA2020",0,0,1
"Monitoring frequency should be reduced to 6 months or even further down if possible. Some Projects are claimed as Strategic projects which doesn't come under EIA is a loop hool for projects to get approved with EIA. So, Voting against this act.",0,0,1
"1. The public consultation period is fine. However you reduced slightly.
2. Montoring frequency has to be quarterly. 4 times a year.
3. Appeal should not be allowed even before the clearance. 
4. And a lot of potholes in the main EIA which should also be addressed. Atleast save ourncountry to be a good lawmaker.",0,0,0
"I am against this EIA 2020
There is no committee for A and B1 PROJECTS
Why can't NOC can be made compulsory again like in 1994 act
Save INDIA, Step down BJP",1,1,0
I am against EIA 2020.,2,0,0
"This is a retrograde and unwanted move, which will only benefit greedy corporates and industrial houses. Already merciless deforestation has reduced forest cover, leading to erosion and mudslides. We need to preserve our environment!",1,0,0
"Monitoring frequency should be reduced to 6 months or even further down if possible. Some Projects are claimed as Strategic projects which doesn't come under EIA is a loop hool for projects to get approved with EIA. So, Voting against this act.",0,0,0
"First of all government should extend time and ask for public opinion about through media newspapers etc..
     Because most of the people don't know about it. Then how can they commence it.",0,0,0
"மக்கள் நலன் கருதி eia2020 கை விட வேண்டும்..... மக்கள் கருத்துக்களை கொண்டு முடிவு செய்ய வேண்டும் என்று கேட்டுக் கொள்கிறேன்.Eia 2020 மக்கள் வாழ்வில் பெரும் அளவில் உள்ளன,,, இதை  நாம் ஒன்றாக சேர்ந்து இதற்கு குரல் கொடுப்போம்",0,0,0
I would like to vote my response against this EIA2020 ..... PLEASE the government should consider the response of people against this act...,0,0,0
"BJP government's wrong step 
 
I am against EIA 2020",0,0,0
Am against with this act.. And we want live with nature.. This is democracy country?.. Pls save nature for our future generation..,0,0,0
"I against for EIA 2020 it will mostly affect the nature, environment also human being.we should save nature for future generation.we must agaainst for EIA 2020.",0,0,0
I am against EIA 2020.,0,0,0
The country is troubling with various troubles and problems. In this hilarious situation the EIA 2020 is also an another disaster. Our nation has the proud to say democractic but this EIA 2020 will passes India's democratic destroys and becomes a coroprate ruling country. We are not against EIA we only raises our voice against the plots of EIA 2020. The government will look over the plots of EIA 2020 and remove the drawbacks that affect the pepole strength of vocing agianst the troubles happen to them. Overcome the drawbacks and ensure the safety and secure life to people and also for nature. This is not only an environmental trouble it's about our own life and our future generations,0,0,0
"மக்கள் நலன் கருதி eia2020 கை விட வேண்டும்..... மக்கள் கருத்துக்களை கொண்டு முடிவு செய்ய வேண்டும் என்று கேட்டுக் கொள்கிறேன்.Eia 2020 மக்கள் வாழ்வில் பெரும் அளவில் உள்ளன,,, இதை  நாம் ஒன்றாக சேர்ந்து இதற்கு குரல் கொடுப்போம்",0,0,0
"I'm against to this EIA act 2020........we are now danger zone....please, One'st act passes their is no future bucz almost indian environmental may be chemicalized or nature resources will be damaged.....so plzz don't encourage this act...
Right time to rise your voice....#EIA 2020
JAI HIND",0,0,0
The government plan to sell the oxygen cylinder in future.,1,0,0
I stand against this draft and will even request others to do the same so as to save our biodiversity from getting destructed ...,0,0,0
புதிதாக கொண்டுவரப்பட்ட  சுற்றுசூழல் தாக்க மதிப்பீடு (EIA 2020 Act) முற்றிலும் இயற்கைக்கும் மக்களுக்கும் எதிரானதாகவும் முற்றிலும் முரண்பட்டதாகவும் இருப்பதால் இதனை  நடைமுறை படுத்துவதில் சில திருத்தங்கள் செய்யவேண்டும் இல்லை எனில் முற்றிலுமாக இந்த திட்டத்தை கைவிடவேண்டும்.,0,0,0
I am vote against  EIA draft 2020 as it favours on company owners.  No provision  for public complaints. This draft  needs changes before implementation.,0,0,0
"I'm against the EIA2020 act it will mostly affect the nature, environment also human beings.we must keep the natural reserves for future. It is our hope",0,0,0
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
"1. When you talk of public consultation you need to say how many consultations you will do.
2. At what all stages you will do the consultations.
3. If more than 25% of the citizens residing in that area are opposing your move, then the citizens should have the veto.",3,0,0
"1. It is essential these reports are made by autonomous biologists and not the members of the ministry.
2. Post clearance monitoring made compulsory/strict.
3. Use social media reach for public consultations (type A and B1 projects) in case of major projects.
4. Impact on air, water, the ecosystem must be mentioned distinctively with a timely plan to mitigate the same. Failing to meet the timeline may attract a penalty.
5. Take the suggestions from the Comptroller and Auditor General of India for reforms in the 2006 based EIA notification.",1,0,0
As a Citizen of India I have the responsibility to protect my Nation against EIA 2020.I too have the rights to file a case against EIA2020. #withdraweia2020,0,0,0
"1. First of all, I would expect Ministry to extend the Public Consultation to earlier 45 days.
A. In this, I would expect the Ministry to advertise on day one on the upcoming Project details to the Public in all leading Information distributors like Newspapers (both local and National), local TV channels etc.
B. Conduct F2F meeting from a representative (something like Ombudsman even NGT is fine) outside of the Ministry to access who is a neutral person (not belonging to any Minister's family or the Investor of the Projects family) with local representatives including native folks, public and edify them on the upcoming Projects (its advantages mostly including disadvantages as well).
2. This requires the Monitoring period to be quarterly, i.e. once in every three months.
3 & 4. For Enviornmental Clearance, the same representative is responsible for saying ""YES"" at first level and later it would go to Ministries process for Final approval.
Once the Clearance is provided for any of the Category mentioned, make the Project public with Total estimation of Project and what is duration. We see many Projects are announced with advantages to people but none of them have the duration and how much Public money is spilled for those Projects.
5. Post facto approval will waive off the environmental damage which is already done by the project. Hazardous industries may use this loophole to start industries at any place.
6. Compliance report submission only once a year will make it near impossible to mitigate the damage done by the projects as one year completes many geographical, hydrogical cycles that makes changes in the environment.
7. Blanket exemption for strategic projects will pave way for violence on environment with impunity. Environmental degradation does not differentiate between projects. It will affect everyone equally. Suo moto reporting may never happen as there is no responsibility fixing mechanism for damage caused.
8. No exemption from public consultation process for any project whatsover.",0,0,0
"I humbly request to stop EIA 2020.
I will be a disaster for our mother earth.",0,0,0
"Stop this EIA2020 act.. economic development should not be used as a trump card for killing our environment. We can recover from economic disaster after few years, but environmental disaster is irreversible. Hence I am against this act 


Please be a responsible citizen and protect our environment resources for our next generation",0,0,0
"At the outset, I suggest this EIA Notification be postponed for sometime at least. This is because it was prepared prior to the outbreak of COVID19. Circumstances as well as the very concepts of environment have drastically changed ever since this Corona virus has struck the entire world. It has proved the necessity for every country to take environment in a global scale rather than in a local scale. Better the experts who have drafted this Notification sit together and decide whether there are any changes in EIA Notification required in light of these rather developments. on global scle.
We may have to give more priority to safeguard our ecology, our habitat and it may also require much more stringent action against the defaulters. Certain regulations we may have to focus on a global scale.
Anther point I want to put forward on EIA Notification is:
The major issue which this EIA Notification should consider is how we are going to tackle population growth vs insdustrial development. Though an industry might have been established in the out skirts of an urban environment today, soon colonies are being developed around it and naturally they become victims of  disasters in the industry as it happened in many cases in recent times. It may be essential to define much more stringent norms for the buffer space which the industry should allot all around its main establishment. 
It may also be a good idea if the government puts a locking period on the continuation of the industry, based on the populaton around the industry. The industry should shift its location  when the populaton around it reaches a critical level. This condition should be stipulated at the time of giving the first clearance for the consent for establishment of the industry.
Dr.KSR Murthy",0,0,0
"Hello everybody
Please ignoreeia2020
Because it's collapse our nations pride
Nature is our soul of human being
So don't collapse our natural lifestyle in india",0,0,0
"i) Public should have rights to qusetion government and industires regard.
ii) Monitoring should be 6 months once.",0,0,0
"a)Appeal Against Environmental Clearance shouldn't be allowed,
b)Monitoring Frequency should be at least half-yearly.
c)How many hearing about public consultations are unclear.
d)Economic development shouldn't be on the cost of the Environment.",0,0,0
"Envioronment Impact Assessment is key to fore see all the risks and impacts to the environment and come up with the required protective measures and mitigations 
The clauses of getting approval of their appraisal without environment impact assessment clearance , is a danger to the natural resourcs and reserves of the country.
I am against it as it is giving a free hand for the interseted to have appraisal approval and hten go ahead with civic consultation.
1. Period required for civic consultation shall be extended for 45 days.
2. Information shall be advertised in the TV for such an important bill for civic consultation.. circulate advertisements in TV , through SMS to the people. ALso share the draft in the official languages (including regional) for civic response.
3. EIA appraisal shall be done by independent internationally recognised biologists, envoirnmentalists taking into account the effects of the damages caused by projectsand their re-percussions.
4. For B1, B2 , civic consultation shall be gvien preference in teh process of appraisal and approval.
5. Post facto appraisal approval shall not be given for any porjects. as ther is no liability or accountability on the damages already caused.by hte project activities.
FYI
In 2020, many accidents have happened, killing many innocent people due to lapses and inadequate safety systems and protection measures. practised by the mutli national companies. They have a double standard in practising safety in their contry and in india.
They have a perception that that safety can be their choice.It gives me fear wheteher we are safe in our own country.
If they don't care or have concern on people lives , how come they have on environment.
I amagianst the draft report and the fsat track process of EIA and approval . This will kill our future generations assets - the NAture and the Environment.",0,0,0
I am against EIA 2020. PLS CANCEL THE ACT. .,0,0,0
"Stop this EIA2020 act.. economic development should not be used as a trump card for killing our environment. We can recover from economic disaster after few years, but environmental disaster is irreversible. Hence I am against this act obviously govt need to extend their to spend the time with people. Govt should develop the country from the bottom level assistance not from the top level assistance. Look at all over countrywide's they preventing their main source of the country. SAVE NATURE... NATURE WILL SAVE YOU... NATURE IS OUR MOTHER... I UNDERSTAND THIS BY INCIDENT... I HOPE EVERYONE WILLL .........",0,0,0
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
I'm against EIA 2020,0,0,0
"மக்கள் நலன் கருதி eia2020 கை விட வேண்டும்..... மக்கள் கருத்துக்களை கொண்டு முடிவு செய்ய வேண்டும் என்று கேட்டுக் கொள்கிறேன்.Eia 2020 மக்கள் வாழ்வில் பெரும் அளவில் உள்ளன,,, இதை  நாம் ஒன்றாக சேர்ந்து இதற்கு குரல் கொடுப்போம்",0,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
"Relaxing thr norms further is not the way further, as Already we have been witnessing worst Environment impacting accidents, accounting for 8 out of 10 Highest polluted cities, and already poorly performing in EIA Index among compaare to other countries.",0,0,0
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
"The Central Ministry has proposed a change in existing Environment Impact Assessment processes (EIA Notification, 2006) through a draft EIA Notification, 2020. The proposed notification will destroy the process of environmental protection and affecting the environment irreversibly, also making it easier for the corporates to get environmental clearances for their projects. Hence, We the people TAMILNADU, oppose the draft Environment Impact Assessment Notification, 2020, and request you to withdraw the same.
It is evident from the fact that over 30 projects, located in some of India's most biodiverse forests have been urgently cleared or taken up for clearance in online meetings during the lockdown (April 23). Site inspections are a crucial component of project evaluation and are difficult during a pandemic. Ministry appears to be relying only on digital documents uploaded by the project developers. Even more surprisingly these projects have been cleared at a time when Covid-19 has revealed dramatically how seriously the loss of forest land and biodiversity can increase zoonotic diseases.
Environmentalists also have raised their voice and wrote to Environment Minister regarding how forest and environment clearances were being granted across India during the lockdown. On that note, shockingly, the Ministry has put out a draft notification for public comments amidst global economic and public health emergency when there is restricted public movement.
 The new amendment poses a serious threat to the environment and there are some areas of concern like granting post-facto clearances to Industries and leaving aside them with Fine alone in case of any violations. For several projects, the whole process of EIA is made simpler and fails to meet the standards of basic environmental protections. However, in an order on April 1, the Supreme Court held that ""ex post facto environmental clearances"" are contrary to law. It said: ""Environment law cannot countenance the notion of an ex post facto clearance. This would be contrary to both the precautionary principle as well as the need for sustainable development"".
A public hearing has been exempted to many industries (those producing acids, paints, fertilizers, pesticides, etc.) located in Notified Industrial Zone, this will create serious problems in areas that depend entirely on ground and river water for agricultural usage. Public consultation has also been exempted from a list of linear projects. Projects such as roads and pipelines in border areas will not require any public hearing. The 'border area' is defined as ""area falling within 100 kilometers aerial distance from the Line of Actual Control with bordering countries of India."" That would cover much of the Northeast, the region with the country's richest biodiversity. Exemption from public hearing goes against International environmental law and agreements.
Increased validity of the environment clearance for mining projects and river valley projects from 30 years currently to 50 years and, 10 years currently to 15 years respectively, thus increasing the risk of irreversible environmental, social, and health consequences on account of the project remaining unnoticed for long.
Through the draft, it is enough for the industries to provide an annual environmental compliance report rather than half-yearly reports. Past experiences show that industries have continued to provide data that are false and inaccurate. Seeking an annual report provides an opportunity for the industries to further underestimate any socio-environmental issues arising in their projects.
 The Public consultation process is diluted. The period for the public to submit their views and responses during a public hearing for any application seeking Environment clearance has been reduced from 30 days to 20 days. It is aimed at denying the proper opportunity to record the objections of the people of the region. 
The various provisions of the draft are aimed at facilitating the government's doctrine of ""ease of doing business"". Hence, we would like to reiterate that it is our generation that will be a victim of the devastating effects of these twisted and diluted laws like the new EIA draft. In this age of high pollution levels in our cities, we need to strengthen the EIA 2006 instead of allowing amendments that will dilute the rules and encourage environmental violations.
 The EIA can be used to bring India out of the Covid-19 pandemic as an environmentally aware country through a green recovery that strengthens the role of environmental and social protection of all people and nature instead of justifying the present forms of harmful development.
So, we request you to kindly withdraw the Draft EIA Notification – 2020, right now",0,0,0
